model_id,prompt
zimage-turbo,"Dynamic sci-fi cover with raw speed. A person leans forward as if launching motion, with a central energy object exploding into sweeping motion trails, radial speed lines, and curved shockwave rings frozen mid-burst. Cool blue lighting with magenta streaks, high contrast, cinematic blur accents, bold diagonal composition that screams turbo momentum. No readable text, letters, numbers, or logos."
nunchaku-flux-dev-kontext,"Futuristic editorial cover emphasizing multimodal context. A person holds a blank reference image card (no markings) beside a main holographic subject; thin data-lines connect the card to the generated output, with a secondary blank caption-strip shape and clean UI scaffolding (unreadable). Cyan studio lighting, technical clarity, refined negative space, sleek editorial balance. No readable text, letters, numbers, or logos."
flux-krea-text-to-image,"Elegant creative sci-fi cover. A luminous abstract sculpture rises from soft haze beside a beautifully lit person with a calm, inspired expression; the air sparkles with painterly bokeh and subtle grain. Muted cyan and lavender palette with radiant pearlescent highlights, editorial framing, minimal environment, transcendent mood. No readable text, letters, numbers, or logos."
flux-dev-text-to-image,"Engineering-forward cover image. A person in a minimalist studio interacts with a precise volumetric form framed by alignment guides, corner brackets, and faint schematic overlays—clean, technical, and high-end. Crisp cyan lighting, sharp shadows, immaculate reflections, restrained but radiant. No readable text, letters, numbers, or logos."
flux-dev-kontext,"Clean technical cover. A modular layout shows a blank reference card feeding into a generated holographic output via thin connector lines and subtle UI rails, while a person stands between them like an operator overseeing the pipeline. Cool cyan lighting, minimal magenta accents, pristine negative space, modern editorial balance. No readable text, letters, numbers, or logos."
chroma-hd-text-to-image,"Vivid color-fidelity cover image. A person stands in awe as a central prism refracts a full chromatic spectrum into a radiant halo that paints the studio with clean, saturated gradients—ultra-clear highlights, glossy reflections, high dynamic range feel. Crisp studio lighting, elegant composition, breathtaking color depth. No readable text, letters, numbers, or logos."
wan-2-1-14b-multitalk,"Cinematic sci-fi cover suggesting many voices. A centered person is surrounded by layered translucent speech-bubble silhouettes (blank shapes) and overlapping waveform rings that orbit like a chorus. Cool cyan light with soft magenta accents, deep spatial layering, luminous atmospheric haze, editorial symmetry with a modern sci-fi polish. No readable text, letters, numbers, or logos."
wan-2-1-14b-infinitetalk,"Editorial sci-fi cover illustrating continuous conversation. A serene person stands beside an endless flowing waveform ribbon that loops into infinity through depth, fading softly as it recedes. Minimalist studio environment, cool cyan lighting, subtle magenta glow, refined negative space, hypnotic continuity. No readable text, letters, numbers, or logos."
wan-lynx-14b,"Stylish sci-fi cover with identity focus. A confident person is framed by a sleek holographic emblem inspired by a lynx—feline silhouette lines, sharp ear points, and shimmering whisker-like light filaments—paired with a subtle filmstrip teaser element in the background (blank frames). Cool studio lighting, cinematic contrast, elegant and iconic. No readable text, letters, numbers, or logos."
hunyuanvideo15-t2v,"Futuristic cover centered on video creation. A person gestures toward a floating three-panel storyboard strip (blank frames) beneath a luminous core, with film-perforation details and soft motion light trails connecting panels. Cyan–magenta neon rim light, glossy studio reflections, cinematic depth, radiant energy suggesting text-to-video synthesis (without any text UI). No readable text, letters, numbers, or logos."
wan-lynx-14b-lite,"Minimal sci-fi editorial cover with airy elegance. A single person stands in abundant negative space, with a faint lynx-inspired holographic watermark silhouette and a thin, clean storyboard ribbon (blank frames) drifting lightly across the composition. Soft cyan light, gentle shadows, ultra-minimal but radiant. No readable text, letters, numbers, or logos."
hunyuanvideo15-i2v-480p,"Clean sci-fi cover showing image-to-video with intentional low-res vibes. A person holds a blank photo card that transitions into a short filmstrip via a glowing arrow-like light path; the first card is crisp while the filmstrip becomes subtly blocky/pixel-mosaic to suggest lower resolution, still beautifully lit. Neutral-cool studio lighting with cyan accents, modern layout. No readable text, letters, numbers, or logos."
wan-2-2-fun-a14b-vace,"Expressive, playful sci-fi cover. A vibrant person stands amid a lively storyboard strip (blank frames) overlaid with painterly brush strokes, soft masks, sticker-like shapes, and creative UI accents (unreadable). Bright cyan lighting with energetic magenta pops, dynamic composition, joyful motion cues, high aesthetic polish. No readable text, letters, numbers, or logos."
wan-2-1-14b-text-to-video,"Cinematic editorial cover for text-driven motion—without any text. A person faces a floating blank prompt-panel shape above a clean three-panel storyboard (blank frames); light flows from the panel into the storyboard as shimmering particles, implying text-to-video generation. Balanced cyan–magenta studio light, crisp hierarchy, elegant negative space. No readable text, letters, numbers, or logos."
wan-2-2-fun-a14b-control,"Control-focused sci-fi cover. A person manipulates a storyboard strip (blank frames) overlaid with a perspective control grid, edge-map guides, and contour lines that wrap the frames like a transparent rig. Crisp studio lighting, cool cyan dominance with precise magenta highlights, strong technical clarity plus playful energy. No readable text, letters, numbers, or logos."
wan-2-2-a14b-image-to-video,"Editorial sci-fi cover. A person holds a glossy photographic still (blank/unmarked image area) that morphs into a storyboard sequence (blank frames) through a luminous transition beam; subtle motion trails and film-perf details suggest temporal unfolding. Clean modern layout, cool cyan studio light, radiant accents. No readable text, letters, numbers, or logos."
wan-2-2-a14b-first-frame-last-frame,"Conceptual sci-fi cover about keyframes. A person stands between two large floating frames (blank), presented side-by-side like bookends in time; a glowing directional light path connects them through a faint temporal arc, with small orbiting particles marking intermediate motion. Minimal studio lighting, cool cyan with magenta glints, elegant symmetry. No readable text, letters, numbers, or logos."
wan-2-2-a14b-text-to-video,"High-clarity futuristic editorial cover. A person interacts with a blank translucent prompt-panel above a pristine three-panel storyboard strip (blank frames), with crisp spacing and strong visual hierarchy. Cool cyan studio light, subtle magenta highlights, immaculate shadows, radiant but clean. No readable text, letters, numbers, or logos."
wan-2-2-14b-animate,"Animation-centric sci-fi cover. A person performs a graceful turn as circular turntable frames (blank) wrap around them in a ring, implying smooth in-betweening and motion continuity. Soft cyan lighting, gentle magenta rim, cinematic depth and a mesmerizing sense of animated flow. No readable text, letters, numbers, or logos."
wan-2-2-a14b-text-image-to-video,"Multimodal sci-fi cover. A person stands beside a blank prompt-panel and a blank photo inset; both streams converge into a flowing storyboard strip (blank frames) through luminous connector ribbons. Clean studio aesthetic, cool cyan lighting with radiant iridescent accents, elegant editorial composition. No readable text, letters, numbers, or logos."
wan-2.1-14b-vace-reference-to-video,"Reference-driven editorial sci-fi cover. A person presents a blank source image card feeding into a cinematic storyboard (blank frames) via layered directional UI arrows made of pure light (no icons/text), with controlled, precise lighting and clean interface geometry. Cool cyan tones, subtle magenta sheen, refined layout. No readable text, letters, numbers, or logos."
wan-2.1-14b-vace-painting,"Painterly sci-fi cover. A person with an artist’s calm focus stands before storyboard frames (blank) layered with soft translucent masks and expressive brush textures that glow like neon watercolor. Cyan studio light warmed by iridescent highlights, tactile painterly atmosphere, editorial polish. No readable text, letters, numbers, or logos."
wan-2.1-14b-vace-expand-swap,"UI-driven sci-fi cover communicating expand + swap visually (no text). A person manipulates a clean storyboard interface (blank frames) where panels gently stretch outward and trade positions using glowing arrow-shaped light paths and swapping motion cues, all minimal and elegant. Cool cyan studio tones, technical clarity, crisp shadows. No readable text, letters, numbers, or logos."
wan-2.1-14b-vace-control,"Precision-focused sci-fi cover. A person stands over a storyboard strip (blank frames) overlaid with a fine control grid, alignment guides, and thin calibration rails that lock motion into place. Cool cyan studio lighting, restrained magenta accents, ultra-clean and confident composition. No readable text, letters, numbers, or logos."
wan-2-1-14b-image-to-video-480p,"Concise sci-fi editorial cover showing low-res output tastefully. A person holds a blank photo card that transitions into a short filmstrip; the film frames become subtly more blocky/pixelated while remaining beautifully lit, suggesting reduced resolution without any labels. Clean negative space, cool studio lighting with cyan highlights. No readable text, letters, numbers, or logos."
